"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
159993,45,"University of Louisiana at Monroe","700 University Avenue, Monroe, Louisiana","Louisiana",31822032,1800991,184976,7217145,18526742
157289,46,"University of Louisville","2301 S 3rd St, Louisville, Kentucky","Kentucky",392509000,44902000,8782000,170869000,101887000
159391,47,"Louisiana State University and Agricultural & Mechanical College","156 Thomas Boyd Hall, Baton Rouge, Louisiana","Louisiana",566307136,125549393,16933226,230629728,116665021
237525,48,"Marshall University","1 John Marshall Dr, Huntington, West Virginia","West Virginia",105478611,1159913,3539750,18672104,40872186
163286,49,"University of Maryland-College Park",", College Park, Maryland","Maryland",888936182,24134391,52102716,509027980,129475304
166629,50,"University of Massachusetts-Amherst","374 Whitmore Building 181 Presidents Drive, Amherst, Massachusetts","Massachusetts",346918379,26233649,3450000,150422669,170555233
220862,51,"University of Memphis","Alumni Avenue, Memphis, Tennessee","Tennessee",50691846,21745458,12261470,69331040,77980610
204024,52,"Miami University-Oxford","501 East High St, Oxford, Ohio","Ohio",1025833863,46454763,1559441,14987119,135883806
170976,53,"University of Michigan-Ann Arbor","1109 Geddes Avenue, Ann Arbor, Michigan","Michigan",4730760000,179996000,13119000,921973000,438866000
171100,54,"Michigan State University",", East Lansing, Michigan","Michigan",1135463839,118935569,41713246,446165008,183222008
220978,55,"Middle Tennessee State University","1301 East Main Street, Murfreesboro, Tennessee","Tennessee",93678889,3994547,3455789,10195113,67663382
174066,56,"University of Minnesota-Twin Cities","100 Church Street SE, Minneapolis, Minnesota","Minnesota",1321312699,189107896,18682629,882996737,268569304
176080,57,"Mississippi State University","Lee Boulevard, Mississippi State, Mississippi","Mississippi",397884771,69190687,15233400,168599322,113406376
178396,58,"University of Missouri-Columbia","105 Jesse Hall, Columbia, Missouri","Missouri",1746680722,38389950,33460156,185342093,155226202
199193,59,"North Carolina State University at Raleigh","2101 Hillsborough Street, Raleigh, North Carolina","North Carolina",487814497,99100434,106812355,353323032,109267789
181464,60,"University of Nebraska-Lincoln","1400 R Street, Lincoln, Nebraska","Nebraska",565206912,74882325,35343764,220222881,124160472
182290,61,"University of Nevada-Reno","1664 North Virginia Street, Reno, Nevada","Nevada",304376774,27246779,16182950,106596528,61154287
187985,62,"University of New Mexico-Main Campus","1700 Lomas Blvd NE, Albuquerque, New Mexico","New Mexico",1500521932,40100226,3172,278803344,81249056
188030,63,"New Mexico State University-Main Campus","2850 Weddell Street, Las Cruces, New Mexico","New Mexico",191192241,7603087,1841921,104046263,42294806
199120,64,"University of North Carolina at Chapel Hill","103 South Bldg Cb 9100, Chapel Hill, North Carolina","North Carolina",2054701062,232046483,78871011,682692361,145266384
227216,65,"University of North Texas","1501 W.Chestnut Ave., Denton, Texas","Texas",431565834,16879648,2646904,86433203,128260331
147703,66,"Northern Illinois University","1425 W. Lincoln Hwy., Dekalb, Illinois","Illinois",111408867,0,520870,22981557,52605589
204857,67,"Ohio University-Main Campus","020 Chubb Hall, Athens, Ohio","Ohio",522021588,0,5281569,45581701,74780025
204796,68,"Ohio State University-Main Campus","15 E. 15th Avenue, Columbus, Ohio","Ohio",4779282725,121058665,78941709,572956800,223046767
207500,69,"University of Oklahoma-Norman Campus","660 Parrington Oval, Norman, Oklahoma","Oklahoma",338905000,74739000,6271000,118085000,115713000
207388,70,"Oklahoma State University-Main Campus","107 Whitehurst, Stillwater, Oklahoma","Oklahoma",304449109,28878980,40598821,147259416,120595752
232982,71,"Old Dominion University","5115 Hampton Blvd, Norfolk, Virginia","Virginia",157252825,16910986,15016,12478970,43886408
176017,72,"University of Mississippi","Oxford, Mississippi, University, Mississippi","Mississippi",917651548,13674016,42006257,110663836,118905990
209551,73,"University of Oregon","110 Johnson Hall, Eugene, Oregon","Oregon",299558544,127289351,51437635,99176891,96675215
209542,74,"Oregon State University","1500 SW Jefferson Avenue, Corvallis, Oregon","Oregon",401468607,49670189,77513507,223146633,102765307
214777,75,NA,NA,NA,NA,NA,NA,NA,NA
243780,76,"Purdue University-Main Campus","Hovde Hall of Administration, West Lafayette, Indiana","Indiana",609872722,125016789,15291286,336384043,89571770
186380,77,"Rutgers University-New Brunswick","83 Somerset St, New Brunswick, New Jersey","New Jersey",1338435000,42460000,19282000,563199000,186803000
122409,78,"San Diego State University","5500 Campanile Dr, San Diego, California","California",427394415,17492496,28495477,6213676,136858863
122755,79,"San Jose State University","One Washington Square, San Jose, California","California",273283623,11230534,3517751,1927900,109326692
102094,80,"University of South Alabama","307 N University Blvd, Mobile, Alabama","Alabama",363476000,24488000,5555000,37644000,39392000
218663,81,"University of South Carolina-Columbia","Columbia-Campus, Columbia, South Carolina","South Carolina",1163909971,29685708,6196990,152871063,271806660
137351,82,"University of South Florida","4202 East Fowler Ave, Tampa, Florida","Florida",916757063,26603769,10244722,336760924,155687009
176372,83,"University of Southern Mississippi","118 College Drive # 0001, Hattiesburg, Mississippi","Mississippi",174130247,782393,1849486,50228535,47432521
221759,84,"The University of Tennessee-Knoxville","527 Andy Holt Tower, Knoxville, Tennessee","Tennessee",294184732,14468874,6547459,278666249,174150193
228778,85,"The University of Texas at Austin","110 Inner Campus Drive, Austin, Texas","Texas",1870570791,214378244,51594770,681788702,192479493
228723,86,"Texas A & M University-College Station","1246 TAMU, College Station, Texas","Texas",1378026547,123602640,11590015,952518954,203105786
228459,87,"Texas State University","601 University Dr, San Marcos, Texas","Texas",579013098,8954133,1088554,71549808,119664877
229115,88,"Texas Tech University","Broadway and University Avenue, Lubbock, Texas","Texas",374472432,43235650,62658905,205204886,121055562
206084,89,"University of Toledo","2801 W Bancroft, Toledo, Ohio","Ohio",301365231,6010524,1102785,49391217,75072280
100663,90,"University of Alabama at Birmingham","Administration Bldg Suite 1070, Birmingham, Alabama","Alabama",2589430410,61112310,1645260,340868357,91726065
132903,91,"University of Central Florida","4000 Central Florida Blvd, Orlando, Florida","Florida",707507603,24345567,306252,205274245,237499738
110662,92,"University of California-Los Angeles","405 Hilgard Ave, Los Angeles, California","California",NA,27878000,27878000,1090324507,252086067
182281,93,"University of Nevada-Las Vegas","4505 S Maryland Pky, Las Vegas, Nevada","Nevada",499508000,23511000,7982000,43231000,101435000
230764,94,"University of Utah","201 Presidents Circle, ROOM 201, Salt Lake City, Utah","Utah",3132119000,56315000,82024000,392505000,102130000
230728,95,"Utah State University","Old Main Hill, Logan, Utah","Utah",375769332,29020225,3098141,255388123,91341266
228796,96,"The University of Texas at El Paso","500 W. University Ave, El Paso, Texas","Texas",218189796,9703996,359686,104823012,55242741
229027,97,"The University of Texas at San Antonio","One UTSA Circle, San Antonio, Texas","Texas",329111566,78967784,15394637,131990673,112875355
234076,98,"University of Virginia-Main Campus","1827 University Avenue, Charlottesville, Virginia","Virginia",1156355401,195548662,75622066,499557078,160821659
233921,99,"Virginia Polytechnic Institute and State University","210 Burruss Hall, 800 Drillfield Dr., Blacksburg, Virginia","Virginia",391012703,69050025,127957724,381019551,133329786
236948,100,"University of Washington-Seattle Campus","1400 NE Campus Parkway, Seattle, Washington","Washington",2705721361,214620172,119803070,938908939,230926603
236939,101,"Washington State University","French Administration Building, Pullman, Washington","Washington",361712047,43875066,1642504,233998986,159123014
238032,102,"West Virginia University","PO Box 6201, Morgantown, West Virginia","West Virginia",344331323,77898517,91667267,148848114,90991435
157951,103,"Western Kentucky University","1906 College Heights Blvd, Bowling Green, Kentucky","Kentucky",154303864,0,0,6566760,75389048
172699,104,"Western Michigan University","1903 W Michigan Ave, Kalamazoo, Michigan","Michigan",201132484,26492749,1440415,18701960,55852999
240444,105,"University of Wisconsin-Madison","500 Lincoln Dr, Madison, Wisconsin","Wisconsin",1685416941,385516079,56624842,1140675770,171117021
240727,106,"University of Wyoming","Corner of Ninth and Ivinson, Laramie, Wyoming","Wyoming",215221000,26424000,3184000,106955000,45801000
