"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
204024,52,"Miami University-Oxford","501 East High St, Oxford, Ohio","Ohio",740363380,30727535,1860736,16083168,101621757
170976,53,"University of Michigan-Ann Arbor","1109 Geddes Avenue, Ann Arbor, Michigan","Michigan",3955459000,175767000,13004000,954883000,434326000
171100,54,"Michigan State University",", East Lansing, Michigan","Michigan",826489942,41203774,30306127,458135505,173617203
220978,55,"Middle Tennessee State University","1301 East Main Street, Murfreesboro, Tennessee","Tennessee",85506833,4107442,4641014,9770746,68052225
174066,56,"University of Minnesota-Twin Cities","100 Church Street SE, Minneapolis, Minnesota","Minnesota",1126996435,180850973,25836845,894046193,267340467
176080,57,"Mississippi State University","Lee Boulevard, Mississippi State, Mississippi","Mississippi",326522263,55424332,9268200,190862428,113773593
178396,58,"University of Missouri-Columbia","105 Jesse Hall, Columbia, Missouri","Missouri",1275078205,39427819,18149265,177805695,145978541
199193,59,"North Carolina State University at Raleigh","2101 Hillsborough Street, Raleigh, North Carolina","North Carolina",476358676,79578447,85971170,348223123,104106056
181464,60,"University of Nebraska-Lincoln","1400 R Street, Lincoln, Nebraska","Nebraska",527807866,65737130,27413439,224064658,116550604
182290,61,"University of Nevada-Reno","1664 North Virginia Street, Reno, Nevada","Nevada",251464996,22119141,14574747,100033145,59191722
187985,62,"University of New Mexico-Main Campus","1700 Lomas Blvd NE, Albuquerque, New Mexico","New Mexico",1439756945,33567403,0,205268397,76761132
188030,63,"New Mexico State University-Main Campus","2850 Weddell Street, Las Cruces, New Mexico","New Mexico",166478340,6585402,2208471,97977394,41669584
199120,64,"University of North Carolina at Chapel Hill","103 South Bldg Cb 9100, Chapel Hill, North Carolina","North Carolina",1734944473,162185250,20629312,662803984,142579450
227216,65,"University of North Texas","1501 W.Chestnut Ave., Denton, Texas","Texas",356048075,16839965,282992,88204388,120472711
147703,66,"Northern Illinois University","1425 W. Lincoln Hwy., Dekalb, Illinois","Illinois",125814349,0,341780,20798646,48480262
204857,67,"Ohio University-Main Campus","020 Chubb Hall, Athens, Ohio","Ohio",454790253,0,10428838,45880333,67948997
204796,68,"Ohio State University-Main Campus","15 E. 15th Avenue, Columbus, Ohio","Ohio",4698108889,155189861,77425380,574294773,226342240
207500,69,"University of Oklahoma-Norman Campus","660 Parrington Oval, Norman, Oklahoma","Oklahoma",303011000,58403000,20671000,177673000,112033000
207388,70,"Oklahoma State University-Main Campus","107 Whitehurst, Stillwater, Oklahoma","Oklahoma",250809807,38201676,110714455,145772947,113059752
232982,71,"Old Dominion University","5115 Hampton Blvd, Norfolk, Virginia","Virginia",139678882,16331486,155454,19024952,40056247
176017,72,"University of Mississippi","Oxford, Mississippi, University, Mississippi","Mississippi",988815115,15603605,12734948,122014947,120210607
209551,73,"University of Oregon","110 Johnson Hall, Eugene, Oregon","Oregon",238927921,101532013,398019624,91984616,85657866
209542,74,"Oregon State University","1500 SW Jefferson Avenue, Corvallis, Oregon","Oregon",408805771,53806794,86804620,208794819,86906816
214777,75,NA,NA,NA,NA,NA,NA,NA,NA
243780,76,"Purdue University-Main Campus","Hovde Hall of Administration, West Lafayette, Indiana","Indiana",761765215,76342948,41014409,335217852,92130743
186380,77,"Rutgers University-New Brunswick","83 Somerset St, New Brunswick, New Jersey","New Jersey",1063367000,37686000,20850000,603919000,190502000
122409,78,"San Diego State University","5500 Campanile Dr, San Diego, California","California",446177321,16002447,6774620,7326203,133970995
122755,79,"San Jose State University","One Washington Square, San Jose, California","California",222926633,4037227,2671480,1509336,108926269
102094,80,"University of South Alabama","307 N University Blvd, Mobile, Alabama","Alabama",355235000,14688000,6631000,39373000,38995000
218663,81,"University of South Carolina-Columbia","Columbia-Campus, Columbia, South Carolina","South Carolina",800952094,38834771,8352529,156592463,275545841
137351,82,"University of South Florida","4202 East Fowler Ave, Tampa, Florida","Florida",828088878,25932241,15551433,350860908,149922700
176372,83,"University of Southern Mississippi","118 College Drive # 0001, Hattiesburg, Mississippi","Mississippi",132655185,1061227,788086,56631362,44143998
221759,84,"The University of Tennessee-Knoxville","527 Andy Holt Tower, Knoxville, Tennessee","Tennessee",245997476,11003082,13647088,286342541,153205452
228778,85,"The University of Texas at Austin","110 Inner Campus Drive, Austin, Texas","Texas",1710757268,311415642,78093701,668799542,191117831
228723,86,"Texas A & M University-College Station","1246 TAMU, College Station, Texas","Texas",1225533698,129426061,3591071,978864830,179395686
228459,87,"Texas State University","601 University Dr, San Marcos, Texas","Texas",522380621,10862834,212923,68421394,115477827
229115,88,"Texas Tech University","Broadway and University Avenue, Lubbock, Texas","Texas",267084545,47761316,23472464,198766869,111490717
206084,89,"University of Toledo","2801 W Bancroft, Toledo, Ohio","Ohio",223671930,5185646,1453071,42859719,82685575
100663,90,"University of Alabama at Birmingham","Administration Bldg Suite 1070, Birmingham, Alabama","Alabama",2275161243,18705016,1854223,302659583,85456029
132903,91,"University of Central Florida","4000 Central Florida Blvd, Orlando, Florida","Florida",623245054,31393185,1772786,186785744,221585494
110662,92,"University of California-Los Angeles","405 Hilgard Ave, Los Angeles, California","California",NA,364683000,34593000,961400331,231788389
182281,93,"University of Nevada-Las Vegas","4505 S Maryland Pky, Las Vegas, Nevada","Nevada",408086000,24419000,0,48631000,82176000
230764,94,"University of Utah","201 Presidents Circle, ROOM 201, Salt Lake City, Utah","Utah",2648916000,165736000,12190000,396984000,108272000
230728,95,"Utah State University","Old Main Hill, Logan, Utah","Utah",256423232,21530594,7175623,244837854,88224115
228796,96,"The University of Texas at El Paso","500 W. University Ave, El Paso, Texas","Texas",172166188,5647890,191976,107243446,58427113
229027,97,"The University of Texas at San Antonio","One UTSA Circle, San Antonio, Texas","Texas",231269647,5814101,11333416,120678676,101242363
234076,98,"University of Virginia-Main Campus","1827 University Avenue, Charlottesville, Virginia","Virginia",1019937273,204838762,43509804,523690834,149503692
233921,99,"Virginia Polytechnic Institute and State University","210 Burruss Hall, 800 Drillfield Dr., Blacksburg, Virginia","Virginia",307742805,71641480,101029776,395604668,125936172
236948,100,"University of Washington-Seattle Campus","1400 NE Campus Parkway, Seattle, Washington","Washington",2029039455,219541933,179089437,905725549,198768748
236939,101,"Washington State University","French Administration Building, Pullman, Washington","Washington",250219388,39535338,2150880,239526813,151929389
238032,102,"West Virginia University","PO Box 6201, Morgantown, West Virginia","West Virginia",306798604,121979714,16088078,140682145,85146542
157951,103,"Western Kentucky University","1906 College Heights Blvd, Bowling Green, Kentucky","Kentucky",125493085,0,0,7728127,66165773
172699,104,"Western Michigan University","1903 W Michigan Ave, Kalamazoo, Michigan","Michigan",129208678,30446337,1002896,17691507,61492115
240444,105,"University of Wisconsin-Madison","500 Lincoln Dr, Madison, Wisconsin","Wisconsin",1479917178,328630309,14700392,1097886371,164401227
240727,106,"University of Wyoming","Corner of Ninth and Ivinson, Laramie, Wyoming","Wyoming",372540000,25471000,8307000,104370000,41212000
