"UNITID","d1_id","school_name","address","state","total_assets","gifts","capital_grants_gifts","research_spent","discounts_to_tuiton"
200800,2,"University of Akron Main Campus","302 Buchtel Common, Akron, Ohio","Ohio",222853731,22340536,1562455,29012160,43015947
100751,3,"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama","Alabama",553887777,48858002,65669021,77055748,269470952
197869,4,"Appalachian State University","287 Rivers St, Boone, North Carolina","North Carolina",113683565,12865750,45978798,2907173,29263669
104179,5,"University of Arizona","1401 E University Blvd, Tucson, Arizona","Arizona",433680000,81746000,11447000,497692000,214043000
104151,6,"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona","Arizona",258604000,75791000,15471000,333019000,374096000
106397,7,"University of Arkansas","1125 W Maple St, Administration Bldg 425, Fayetteville, Arkansas","Arkansas",558376658,76814127,85782493,163206957,77030077
106458,8,"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas","Arkansas",43693446,2697962,1152672,11388071,39886068
100858,9,"Auburn University",", Auburn, Alabama","Alabama",577450217,47093103,26097996,192211547,116589276
150136,10,"Ball State University","2000 W. University Ave, Muncie, Indiana","Indiana",281523471,9816248,4548601,12964680,82330178
142115,11,"Boise State University","1910 University Dr, Boise, Idaho","Idaho",148303441,28482810,27275727,32935995,25263700
201441,12,"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio","Ohio",245346192,0,849879,9683767,63567490
196088,13,"University at Buffalo","12 Capen Hall, Buffalo, New York","New York",438432750,9565572,10545745,156049528,69999590
110635,14,"University of California-Berkeley","200 California Hall, Berkeley, California","California",NA,315857000,100925000,675981762,198518202
169248,15,"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan","Michigan",116651734,7881672,5047220,16563787,58087800
199139,16,"University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, North Carolina","North Carolina",330704568,11805216,6193710,30623721,52263828
201885,17,"University of Cincinnati-Main Campus","2624 Clifton Avenue, Cincinnati, Ohio","Ohio",338799471,69423803,15434562,195229291,98427605
217882,18,"Clemson University","201 Sikes Hall, Clemson, South Carolina","South Carolina",610157925,69993957,17560990,195200899,106681831
218724,19,"Coastal Carolina University","103 Tom Trout Drive, Conway, South Carolina","South Carolina",119447811,5697000,2038739,1456275,34119296
126614,20,"University of Colorado Boulder","Regent Drive at Broadway, Boulder, Colorado","Colorado",980476453,77464844,10742140,449009390,122863910
126818,21,"Colorado State University-Fort Collins","102 Administration Building, Fort Collins, Colorado","Colorado",505799282,79063467,57616099,254178311,110741245
129020,22,"University of Connecticut","352 Mansfield Road, Storrs, Connecticut","Connecticut",1228459302,25438145,5098573,171627945,227667476
198464,23,"East Carolina University","East 5th Street, Greenville, North Carolina","North Carolina",365922132,16699261,4320727,29404973,47528519
169798,24,"Eastern Michigan University","900 Oakwood St., Ypsilanti, Michigan","Michigan",76172091,5353865,609736,4609080,57175880
133669,25,"Florida Atlantic University","777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida","Florida",336712479,0,1185312,47942510,66999415
133951,26,"Florida International University","11200 S. W. 8 Street, Miami, Florida","Florida",454257765,26379957,7202632,144798893,165856293
134130,27,"University of Florida","Tigert Hall, Gainesville, Florida","Florida",1714331000,126365000,71627000,743264000,198606000
134097,28,"Florida State University","222 S. Copeland Street, Tallahassee, Florida","Florida",792009075,49989350,8643640,196675848,160811485
110556,29,"California State University-Fresno","5241 N Maple Ave, Fresno, California","California",109947524,4711529,994556,6523636,109093992
139959,30,"University of Georgia","Administration Building, Athens, Georgia","Georgia",411714329,77253233,66224163,445142301,140694979
139931,31,"Georgia Southern University","1332 Southern Drive, Statesboro, Georgia","Georgia",93852449,7282379,9059425,17560879,44210919
139940,32,"Georgia State University","33 Gilmer St, Atlanta, Georgia","Georgia",259289877,1111535,23075638,193875128,73899307
139755,33,"Georgia Institute of Technology-Main Campus","225 North Ave, Atlanta, Georgia","Georgia",464877108,1498581,8501537,879841288,52856767
225511,34,"University of Houston","4302 University Drive, Room 212, Houston, Texas","Texas",841709077,81928269,0,188625426,117021895
145637,35,"University of Illinois Urbana-Champaign","601 E John Street, Champaign, Illinois","Illinois",663042196,154218925,5160537,537463886,236895325
151351,36,"Indiana University-Bloomington","107 South Indiana Ave., Bloomington, Indiana","Indiana",318762801,82421042,12140924,101495816,180271538
153658,37,"University of Iowa","101 Jessup Hall, Iowa City, Iowa","Iowa",863873000,97209000,10496000,410042000,114863000
153603,38,"Iowa State University","1750 Beardshear Hall, Ames, Iowa","Iowa",406488847,54501458,221666,205703947,141428395
155317,39,"University of Kansas","Strong Hall, 1450 Jayhawk Blvd, Room 230, Lawrence, Kansas","Kansas",440072875,62293228,84645007,313210686,34518650
155399,40,"Kansas State University","919 Mid-Campus Drive, Anderson Hall, Manhattan, Kansas","Kansas",304702031,0,11109054,211293890,50578403
203517,41,"Kent State University at Kent","Executive Office, 2nd Floor Library, Kent, Ohio","Ohio",444135000,8188618,0,16583208,71738214
157085,42,"University of Kentucky","South Limestone, Lexington, Kentucky","Kentucky",1100971558,60092191,28086052,311306104,165817699
159647,43,"Louisiana Tech University","1310 West Railroad Avenue, Ruston, Louisiana","Louisiana",51011972,15671830,18041598,24700163,36523537
160658,44,"University of Louisiana at Lafayette","104 University Circle, Lafayette, Louisiana","Louisiana",79049736,5112771,15969268,58611835,32922463
159993,45,"University of Louisiana at Monroe","700 University Avenue, Monroe, Louisiana","Louisiana",38776139,867800,317821,7664631,15686582
157289,46,"University of Louisville","2301 S 3rd St, Louisville, Kentucky","Kentucky",194090000,30597000,393000,153953000,92737000
159391,47,"Louisiana State University and Agricultural & Mechanical College","156 Thomas Boyd Hall, Baton Rouge, Louisiana","Louisiana",454921824,70805672,10037849,259973024,83108278
237525,48,"Marshall University","1 John Marshall Dr, Huntington, West Virginia","West Virginia",102141395,1730374,3487726,17182840,41981110
163286,49,"University of Maryland-College Park",", College Park, Maryland","Maryland",767486545,28529601,32196879,458269306,104156795
166629,50,"University of Massachusetts-Amherst","374 Whitmore Building 181 Presidents Drive, Amherst, Massachusetts","Massachusetts",295508000,20400574,3605297,145840617,148342440
220862,51,"University of Memphis","Alumni Avenue, Memphis, Tennessee","Tennessee",39061745,26982372,8708285,59784666,66756004
204024,52,"Miami University-Oxford","501 East High St, Oxford, Ohio","Ohio",742497225,26401798,4876461,15386820,89647994
170976,53,"University of Michigan-Ann Arbor","1109 Geddes Avenue, Ann Arbor, Michigan","Michigan",2630419000,192254000,39106000,919686000,366279000
171100,54,"Michigan State University",", East Lansing, Michigan","Michigan",635913083,63967477,69941236,457653679,148483731
220978,55,"Middle Tennessee State University","1301 East Main Street, Murfreesboro, Tennessee","Tennessee",85349148,4705547,2555761,8237310,64458437
174066,56,"University of Minnesota-Twin Cities","100 Church Street SE, Minneapolis, Minnesota","Minnesota",1051394529,186565399,33922028,865424269,242204624
176080,57,"Mississippi State University","Lee Boulevard, Mississippi State, Mississippi","Mississippi",228925446,36515154,3905050,174990876,96900021
178396,58,"University of Missouri-Columbia","105 Jesse Hall, Columbia, Missouri","Missouri",1357693007,49349401,7804044,154671236,108660103
199193,59,"North Carolina State University at Raleigh","2101 Hillsborough Street, Raleigh, North Carolina","North Carolina",436701540,76584756,22061236,332721413,101220322
181464,60,"University of Nebraska-Lincoln","1400 R Street, Lincoln, Nebraska","Nebraska",579937828,61898156,19890781,226983870,89944908
182290,61,"University of Nevada-Reno","1664 North Virginia Street, Reno, Nevada","Nevada",205023352,23474882,6696423,81423024,54954289
187985,62,"University of New Mexico-Main Campus","1700 Lomas Blvd NE, Albuquerque, New Mexico","New Mexico",1120122206,33468239,0,246053801,75079515
188030,63,"New Mexico State University-Main Campus","2850 Weddell Street, Las Cruces, New Mexico","New Mexico",126047504,9091604,2584174,108115609,36427502
199120,64,"University of North Carolina at Chapel Hill","103 South Bldg Cb 9100, Chapel Hill, North Carolina","North Carolina",1485705971,172440661,17148929,636264241,118380464
227216,65,"University of North Texas","1501 W.Chestnut Ave., Denton, Texas","Texas",421563251,15289104,1295873,27257905,102261865
147703,66,"Northern Illinois University","1425 W. Lincoln Hwy., Dekalb, Illinois","Illinois",151759334,0,763395,20839762,70933075
204857,67,"Ohio University-Main Campus","020 Chubb Hall, Athens, Ohio","Ohio",447630650,0,6124735,54548843,58677373
204796,68,"Ohio State University-Main Campus","15 E. 15th Avenue, Columbus, Ohio","Ohio",4056535265,166978967,15469505,358227495,188453431
207500,69,"University of Oklahoma-Norman Campus","660 Parrington Oval, Norman, Oklahoma","Oklahoma",266162000,114161000,45497000,141562000,107697000
207388,70,"Oklahoma State University-Main Campus","107 Whitehurst, Stillwater, Oklahoma","Oklahoma",226689113,37031457,29292431,138208196,108123013
232982,71,"Old Dominion University","5115 Hampton Blvd, Norfolk, Virginia","Virginia",162453486,13727577,3383934,14285831,36246911
176017,72,"University of Mississippi","Oxford, Mississippi, University, Mississippi","Mississippi",773301268,19032177,14245453,144367520,115087511
209551,73,"University of Oregon","110 Johnson Hall, Eugene, Oregon","Oregon",285087732,72116266,46383382,83765776,75990468
209542,74,"Oregon State University","1500 SW Jefferson Avenue, Corvallis, Oregon","Oregon",230757282,56474608,50279377,218426795,68579925
214777,75,NA,NA,NA,NA,NA,NA,NA,NA
243780,76,"Purdue University-Main Campus","Hovde Hall of Administration, West Lafayette, Indiana","Indiana",491453507,85574024,16949426,303915319,94920211
186380,77,"Rutgers University-New Brunswick","83 Somerset St, New Brunswick, New Jersey","New Jersey",898157000,32636000,50318000,566574000,181982000
122409,78,"San Diego State University","5500 Campanile Dr, San Diego, California","California",433558591,17221592,26554269,6019318,125597440
122755,79,"San Jose State University","One Washington Square, San Jose, California","California",258171152,5636534,1352989,263918,110099463
102094,80,"University of South Alabama","307 N University Blvd, Mobile, Alabama","Alabama",182139000,10948000,8612000,33118000,35207000
218663,81,"University of South Carolina-Columbia","Columbia-Campus, Columbia, South Carolina","South Carolina",751164935,49584811,13019291,148336993,242024242
137351,82,"University of South Florida","4202 East Fowler Ave, Tampa, Florida","Florida",831069031,20403200,10888910,340530561,119049840
176372,83,"University of Southern Mississippi","118 College Drive # 0001, Hattiesburg, Mississippi","Mississippi",75371501,1986993,14341952,56787999,40819735
221759,84,"The University of Tennessee-Knoxville","527 Andy Holt Tower, Knoxville, Tennessee","Tennessee",282057311,10945446,19264165,293723825,146078154
228778,85,"The University of Texas at Austin","110 Inner Campus Drive, Austin, Texas","Texas",1393874565,160556387,147898201,597489623,169909244
228723,86,"Texas A & M University-College Station","1246 TAMU, College Station, Texas","Texas",1085492416,154506058,3686493,762679906,160016795
228459,87,"Texas State University","601 University Dr, San Marcos, Texas","Texas",578738089,9425005,1254349,71225771,103866795
229115,88,"Texas Tech University","Broadway and University Avenue, Lubbock, Texas","Texas",350804059,28836397,18548857,189587001,74138579
206084,89,"University of Toledo","2801 W Bancroft, Toledo, Ohio","Ohio",166278305,4663055,1171644,41407419,81680464
100663,90,"University of Alabama at Birmingham","Administration Bldg Suite 1070, Birmingham, Alabama","Alabama",1580145078,34009483,2285326,309591511,49334451
132903,91,"University of Central Florida","4000 Central Florida Blvd, Orlando, Florida","Florida",628594151,21658769,6516188,162507875,169884142
